Date_reported,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-29,2020-01-29,IN,India,SEARO,0,0,0,0
2020-01-30,2020-01-30,IN,India,SEARO,5,5,0,0
2020-01-31,2020-01-31,IN,India,SEARO,0,5,0,0
2020-02-01,2020-02-01,IN,India,SEARO,0,5,0,0
2020-02-02,2020-02-02,IN,India,SEARO,1,6,0,0
2020-02-03,2020-02-03,IN,India,SEARO,1,7,0,0
2020-02-04,2020-02-04,IN,India,SEARO,0,7,0,0
2020-02-05,2020-02-05,IN,India,SEARO,0,7,0,0
2020-02-06,2020-02-06,IN,India,SEARO,0,7,0,0
2020-02-07,2020-02-07,IN,India,SEARO,0,7,0,0
2020-02-08,2020-02-08,IN,India,SEARO,0,7,0,0
2020-02-09,2020-02-09,IN,India,SEARO,0,7,0,0
2020-02-10,2020-02-10,IN,India,SEARO,0,7,0,0
2020-02-11,2020-02-11,IN,India,SEARO,0,7,0,0
2020-02-12,2020-02-12,IN,India,SEARO,0,7,0,0
2020-02-13,2020-02-13,IN,India,SEARO,0,7,0,0
2020-02-14,2020-02-14,IN,India,SEARO,0,7,0,0
2020-02-15,2020-02-15,IN,India,SEARO,0,7,0,0
2020-02-16,2020-02-16,IN,India,SEARO,0,7,0,0
2020-02-17,2020-02-17,IN,India,SEARO,0,7,0,0
2020-02-18,2020-02-18,IN,India,SEARO,0,7,0,0
2020-02-19,2020-02-19,IN,India,SEARO,0,7,0,0
2020-02-20,2020-02-20,IN,India,SEARO,0,7,0,0
2020-02-21,2020-02-21,IN,India,SEARO,0,7,0,0
2020-02-22,2020-02-22,IN,India,SEARO,0,7,0,0
2020-02-23,2020-02-23,IN,India,SEARO,0,7,0,0
2020-02-24,2020-02-24,IN,India,SEARO,0,7,0,0
2020-02-25,2020-02-25,IN,India,SEARO,0,7,0,0
2020-02-26,2020-02-26,IN,India,SEARO,0,7,0,0
2020-02-27,2020-02-27,IN,India,SEARO,0,7,0,0
2020-02-28,2020-02-28,IN,India,SEARO,0,7,0,0
2020-02-29,2020-02-29,IN,India,SEARO,0,7,0,0
2020-03-01,2020-03-01,IN,India,SEARO,0,7,0,0
2020-03-02,2020-03-02,IN,India,SEARO,2,9,0,0
2020-03-03,2020-03-03,IN,India,SEARO,0,9,0,0
2020-03-04,2020-03-04,IN,India,SEARO,22,31,0,0
2020-03-05,2020-03-05,IN,India,SEARO,1,32,0,0
2020-03-06,2020-03-06,IN,India,SEARO,2,34,0,0
2020-03-07,2020-03-07,IN,India,SEARO,4,38,0,0
2020-03-08,2020-03-08,IN,India,SEARO,5,43,0,0
2020-03-09,2020-03-09,IN,India,SEARO,4,47,0,0
2020-03-10,2020-03-10,IN,India,SEARO,7,54,0,0
2020-03-11,2020-03-11,IN,India,SEARO,10,64,0,0
2020-03-12,2020-03-12,IN,India,SEARO,13,77,0,0
2020-03-13,2020-03-13,IN,India,SEARO,1,78,1,1
2020-03-14,2020-03-14,IN,India,SEARO,8,86,1,2
2020-03-15,2020-03-15,IN,India,SEARO,25,111,0,2
2020-03-16,2020-03-16,IN,India,SEARO,7,118,0,2
2020-03-17,2020-03-17,IN,India,SEARO,11,129,1,3
2020-03-18,2020-03-18,IN,India,SEARO,22,151,0,3
2020-03-19,2020-03-19,IN,India,SEARO,16,167,0,3
2020-03-20,2020-03-20,IN,India,SEARO,28,195,1,4
2020-03-21,2020-03-21,IN,India,SEARO,63,258,0,4
2020-03-22,2020-03-22,IN,India,SEARO,83,341,1,5
2020-03-23,2020-03-23,IN,India,SEARO,74,415,2,7
2020-03-24,2020-03-24,IN,India,SEARO,104,519,2,9
2020-03-25,2020-03-25,IN,India,SEARO,43,562,0,9
2020-03-26,2020-03-26,IN,India,SEARO,87,649,4,13
2020-03-27,2020-03-27,IN,India,SEARO,75,724,4,17
2020-03-28,2020-03-28,IN,India,SEARO,0,724,0,17
2020-03-29,2020-03-29,IN,India,SEARO,255,979,8,25
2020-03-30,2020-03-30,IN,India,SEARO,92,1071,4,29
2020-03-31,2020-03-31,IN,India,SEARO,180,1251,3,32
2020-04-01,2020-04-01,IN,India,SEARO,385,1636,6,38
2020-04-02,2020-04-02,IN,India,SEARO,329,1965,12,50
2020-04-03,2020-04-03,IN,India,SEARO,336,2301,6,56
2020-04-04,2020-04-04,IN,India,SEARO,601,2902,12,68
2020-04-05,2020-04-05,IN,India,SEARO,472,3374,9,77
2020-04-06,2020-04-06,IN,India,SEARO,693,4067,32,109
2020-04-07,2020-04-07,IN,India,SEARO,354,4421,5,114
2020-04-08,2020-04-08,IN,India,SEARO,773,5194,35,149
2020-04-09,2020-04-09,IN,India,SEARO,540,5734,17,166
2020-04-10,2020-04-10,IN,India,SEARO,678,6412,33,199
2020-04-11,2020-04-11,IN,India,SEARO,1035,7447,40,239
2020-04-12,2020-04-12,IN,India,SEARO,909,8356,34,273
2020-04-13,2020-04-13,IN,India,SEARO,796,9152,35,308
2020-04-14,2020-04-14,IN,India,SEARO,1211,10363,31,339
2020-04-15,2020-04-15,IN,India,SEARO,1076,11439,38,377
2020-04-16,2020-04-16,IN,India,SEARO,941,12380,37,414
2020-04-17,2020-04-17,IN,India,SEARO,1007,13387,23,437
2020-04-18,2020-04-18,IN,India,SEARO,991,14378,43,480
2020-04-19,2020-04-19,IN,India,SEARO,1334,15712,27,507
2020-04-20,2020-04-20,IN,India,SEARO,1553,17265,36,543
2020-04-21,2020-04-21,IN,India,SEARO,1336,18601,47,590
2020-04-22,2020-04-22,IN,India,SEARO,1383,19984,50,640
2020-04-23,2020-04-23,IN,India,SEARO,1409,21393,41,681
2020-04-24,2020-04-24,IN,India,SEARO,1684,23077,37,718
