Date,Cases
1/30/20,1
1/31/20,1
2/1/20,1
2/2/20,2
2/3/20,3
2/4/20,3
2/5/20,3
2/6/20,3
2/7/20,3
2/8/20,3
2/9/20,3
2/10/20,3
2/11/20,3
2/12/20,3
2/13/20,3
2/14/20,3
2/15/20,3
2/16/20,3
2/17/20,3
2/18/20,3
2/19/20,3
2/20/20,3
2/21/20,3
2/22/20,3
2/23/20,3
2/24/20,3
2/25/20,3
2/26/20,3
2/27/20,3
2/28/20,3
2/29/20,3
3/1/20,3
3/2/20,5
3/3/20,5
3/4/20,28
3/5/20,30
3/6/20,31
3/7/20,34
3/8/20,39
3/9/20,43
3/10/20,56
3/11/20,62
3/12/20,73
3/13/20,82
3/14/20,102
3/15/20,113
3/16/20,119
3/17/20,142
3/18/20,156
3/19/20,194
3/20/20,244
3/21/20,330
3/22/20,396
3/23/20,499
3/24/20,536
3/25/20,657
3/26/20,727
3/27/20,887
3/28/20,987
3/29/20,1024
3/30/20,1251
3/31/20,1397
4/1/20,1998
4/2/20,2543
4/3/20,2567
4/4/20,3082
4/5/20,3588
4/6/20,4778
4/7/20,5311
4/8/20,5916
4/9/20,6725
4/10/20,7598
4/11/20,8446
4/12/20,9205
4/13/20,10453
4/14/20,11487
4/15/20,12322
4/16/20,13430
4/17/20,14352
4/18/20,15722
4/19/20,17615
4/20/20,18539
4/21/20,20080
4/22/20,21370
4/23/20,23077
4/24/20,24530
4/25/20,26283
4/26/20,27890
4/27/20,29451
4/28/20,31324
4/29/20,33062
4/30/20,34863
5/1/20,37257
5/2/20,39699
5/3/20,42505
5/4/20,46437
5/5/20,49400
5/6/20,52987
5/7/20,56351
5/8/20,59695
5/9/20,62808
5/10/20,67161
